neg-F3	neg-F4	neg-M1	neg-M2	pos-F3	pos-F4	pos-M1	pos-M2
ENSMUSG00000019146	20	21	6	12	11	11	10	17
ENSMUSG00000019158	2011	3601	3135	2074	2242	6289	6364	3677
ENSMUSG00000019173	288	249	880	366	181	479	403	264
ENSMUSG00000019178	33	27	18	19	30	22	16	12
ENSMUSG00000019179	14837	14221	13788	13075	13274	19966	17396	14093
ENSMUSG00000019188	19415	13625	20953	15797	23078	44879	54775	32001
ENSMUSG00000019189	4706	1013	2143	3467	4484	3193	3073	3481
ENSMUSG00000019194	202	59	148	219	167	69	106	140
ENSMUSG00000019210	8935	5891	6610	7154	10495	12631	10768	9143
ENSMUSG00000019214	128	22	13	62	117	58	40	84
ENSMUSG00000019230	3	0	2	7	5	1	7	12
ENSMUSG00000019232	0	0	0	0	0	0	0	2
ENSMUSG00000019235	467	216	324	328	271	178	217	199
ENSMUSG00000019254	2595	542	1999	2670	1993	2133	2772	2149
ENSMUSG00000019256	438	161	110	331	104	72	68	99
ENSMUSG00000019261	2362	361	1636	1949	1859	2045	2728	1811
ENSMUSG00000019278	104	53	72	87	4	6	0	0
ENSMUSG00000019295	1894	733	1307	1560	1914	2194	2421	1965
ENSMUSG00000019297	1036	344	501	672	981	738	792	800
ENSMUSG00000019301	17	6	14	17	16	6	19	16
ENSMUSG00000019302	4269	573	2531	3973	4297	4112	4459	4577
ENSMUSG00000019303	115	95	75	96	83	79	39	65
ENSMUSG00000019312	2815	1042	1590	2064	2010	2157	2051	1874
ENSMUSG00000019320	399	185	234	372	469	517	518	439
ENSMUSG00000019326	93	18	72	183	2	7	9	0
ENSMUSG00000019338	1288	194	546	1196	1201	1223	1365	1193
ENSMUSG00000019359	0	0	6	3	0	0	0	0
ENSMUSG00000019362	3223	4856	3098	3153	2744	4346	3533	2848
ENSMUSG00000019368	281	78	152	251	162	153	64	50
ENSMUSG00000019370	5000	5103	9135	7957	3949	11000	7947	6477
ENSMUSG00000019373	4761	3691	2937	4238	5025	6303	5438	4265
ENSMUSG00000019428	7194	2972	5913	7061	7355	8338	7512	6666
ENSMUSG00000019429	76	47	13	59	148	78	35	67
ENSMUSG00000019432	4410	1807	3142	3764	3773	4048	3708	3454
ENSMUSG00000019433	2020	1532	1791	1551	1685	2260	2319	1870
ENSMUSG00000019437	323	279	287	317	315	535	420	330
ENSMUSG00000019461	1136	392	964	1005	891	706	617	629
ENSMUSG00000019464	285	48	135	287	186	258	214	204
ENSMUSG00000019467	536	131	465	527	263	396	414	384
ENSMUSG00000019470	2863	825	1783	1773	2417	1985	1984	1857
ENSMUSG00000019471	6201	3707	4561	4880	5763	5972	6305	4985
ENSMUSG00000019478	1624	1666	1800	1470	2048	5244	4015	2318
ENSMUSG00000019487	474	250	295	466	352	266	385	330
ENSMUSG00000019489	0	0	0	0	0	0	0	0
ENSMUSG00000019494	3623	4259	3559	3987	3273	6056	4611	3656
ENSMUSG00000019505	185664	244181	171830	182330	134980	230416	181911	166002
ENSMUSG00000019518	153	111	96	143	204	131	178	149
ENSMUSG00000019528	955	533	681	892	982	1092	745	890
ENSMUSG00000019539	3384	3799	5360	3645	869	902	1656	827
ENSMUSG00000019558	164	96	111	176	105	204	164	147
ENSMUSG00000019564	218	50	108	223	198	398	204	165
ENSMUSG00000019577	1679	664	2781	2882	325	227	401	203
ENSMUSG00000019578	2473	1147	1862	2094	2422	2448	2136	1935
ENSMUSG00000019579	7549	6708	5063	5853	8220	11034	9340	7782
ENSMUSG00000019590	10869	3092	9067	8658	10419	18620	20498	14354
ENSMUSG00000019647	166	90	141	198	82	38	38	62
ENSMUSG00000019659	2363	3796	2426	2251	2068	2586	1827	1829
ENSMUSG00000019689	1159	1899	927	962	969	1317	988	992
ENSMUSG00000019699	469	132	325	550	367	618	440	568
ENSMUSG00000019710	1840	1876	1646	1900	1747	2622	1863	1645
ENSMUSG00000019715	2750	807	1857	2149	2460	2330	3101	2492
ENSMUSG00000019718	97	108	74	113	51	105	124	66
ENSMUSG00000019726	217	104	19	200	357	186	164	184
ENSMUSG00000019731	3690	451	1486	2496	3928	3732	5398	3922
ENSMUSG00000019732	181	149	99	159	145	247	212	172
ENSMUSG00000019734	5537	3013	4934	4999	5727	8056	9145	6895
ENSMUSG00000019737	2268	1579	1814	1980	3028	2473	2446	2322
ENSMUSG00000019738	785	1114	705	643	723	1033	679	694
ENSMUSG00000019756	175	142	92	199	183	183	107	181
ENSMUSG00000019761	633	1020	582	552	554	518	291	436
ENSMUSG00000019762	38	57	49	60	75	109	56	46
ENSMUSG00000019763	1014	633	531	969	1041	998	703	889
ENSMUSG00000019767	10	10	3	16	11	13	14	34
ENSMUSG00000019768	19	9	22	13	14	22	19	19
ENSMUSG00000019769	243	190	48	149	266	238	206	129
ENSMUSG00000019772	0	47	47	112	983	5	5	0
ENSMUSG00000019773	107	106	97	121	145	107	40	96
ENSMUSG00000019774	556	363	304	543	470	495	386	365
ENSMUSG00000019775	629	815	636	708	598	1620	1151	794
ENSMUSG00000019777	4650	2414	1693	3387	5747	4008	2944	3232
ENSMUSG00000019779	1889	738	834	1653	2212	2095	1722	1712
ENSMUSG00000019782	3419	3755	2744	3307	4101	6570	4801	4163
ENSMUSG00000019785	19	15	11	10	25	9	9	14
ENSMUSG00000019787	0	0	0	8	0	0	0	0
ENSMUSG00000019789	140	24	31	62	2	0	7	0
ENSMUSG00000019790	801	202	214	675	769	849	833	751
ENSMUSG00000019791	774	706	761	728	888	1446	985	878
ENSMUSG00000019792	955	635	590	817	837	945	638	662
ENSMUSG00000019794	2085	1360	1333	1709	2031	2213	1563	1661
ENSMUSG00000019795	5686	5139	3975	5159	4964	6921	5569	4741
ENSMUSG00000019796	11262	2516	4161	6791	13548	10476	13251	11247
ENSMUSG00000019797	706	1032	805	763	670	1259	952	664
ENSMUSG00000019802	8110	3811	3896	6370	10234	15081	13823	10527
ENSMUSG00000019803	1	1	0	1	4	0	1	0
ENSMUSG00000019804	8536	8865	7905	8312	8455	11486	9206	7849
ENSMUSG00000019806	4414	3207	2790	3493	4705	5003	4403	3681
ENSMUSG00000019808	234	224	239	123	224	343	338	194
ENSMUSG00000019809	2109	1049	1355	1820	2226	3807	2742	2390
ENSMUSG00000019810	3356	2133	2609	3178	4270	7496	7391	4513
ENSMUSG00000019813	281	149	206	217	287	270	200	231
ENSMUSG00000019814	1512	872	754	1055	2057	2261	1739	1388
ENSMUSG00000019815	0	0	0	0	0	0	0	0
ENSMUSG00000019817	52	53	36	168	163	180	138	111
ENSMUSG00000019818	43207	13567	25218	38678	50024	68692	56227	48820
ENSMUSG00000019820	2489	1232	608	1870	2630	1424	1222	1223
ENSMUSG00000019822	1509	1004	1089	1529	1427	1544	1356	1334
ENSMUSG00000019823	84	38	254	170	31	19	46	21
ENSMUSG00000019826	1172	474	585	1154	1377	1137	1138	670
ENSMUSG00000019828	1	4	1	11	3	1	1	14
ENSMUSG00000019831	594	199	403	537	427	448	550	340
ENSMUSG00000019832	72	43	84	81	67	100	79	60
ENSMUSG00000019834	0	0	0	0	0	0	0	0
ENSMUSG00000019836	0	0	0	5	5	0	0	0
ENSMUSG00000019837	690	836	524	561	656	940	702	597
ENSMUSG00000019838	4080	1759	2857	4529	2407	3236	2992	3041
ENSMUSG00000019841	667	444	132	692	618	453	360	463
ENSMUSG00000019842	1167	584	772	862	1160	1367	1286	907
ENSMUSG00000019843	1031	371	470	823	556	573	565	464
ENSMUSG00000019845	105	84	67	122	97	53	66	123
ENSMUSG00000019846	202	56	56	352	8	0	3	1
ENSMUSG00000019848	0	1	0	0	0	0	0	0
ENSMUSG00000019849	928	229	534	873	1348	815	1146	990
ENSMUSG00000019850	245	43	202	340	198	228	196	129
ENSMUSG00000019851	889	521	628	672	1135	1659	1351	1043
ENSMUSG00000019852	1535	325	493	1316	1624	2072	1808	2406
ENSMUSG00000019853	78	55	48	46	20	20	13	17
ENSMUSG00000019854	2332	612	1039	1421	2986	2339	2830	2425
ENSMUSG00000019856	616	248	261	375	752	850	938	617
ENSMUSG00000019857	1329	1487	994	1066	1118	1420	691	742
ENSMUSG00000019861	1650	407	726	1305	1503	1856	1633	1703
ENSMUSG00000019863	385	203	155	337	636	710	505	475
ENSMUSG00000019864	1169	311	484	955	1291	1189	1023	1105
ENSMUSG00000019865	19	2	7	1	0	3	1	0
ENSMUSG00000019866	161	35	105	106	180	535	405	387
ENSMUSG00000019867	1	5	2	2	4	7	0	6
ENSMUSG00000019868	2330	2130	1575	1910	2265	2920	2378	1912
ENSMUSG00000019872	2005	1081	1049	1464	1690	1907	1631	1433
ENSMUSG00000019873	1690	811	1162	1775	1569	1567	1254	1265
ENSMUSG00000019874	34	53	44	82	23	2	0	2
ENSMUSG00000019876	1531	1634	1045	1548	1553	2976	2155	1784
ENSMUSG00000019877	30224	8946	15183	23609	36299	61325	62139	41393
ENSMUSG00000019878	219	236	177	247	296	367	200	216
ENSMUSG00000019880	0	10	5	6	3	0	0	0
ENSMUSG00000019883	1620	838	909	1497	2094	1543	1327	1398
ENSMUSG00000019888	25	42	10	38	54	26	18	29
ENSMUSG00000019889	824	411	439	850	385	845	1198	494
ENSMUSG00000019890	2	15	0	11	0	5	0	6
ENSMUSG00000019891	521	253	236	456	412	429	438	347
ENSMUSG00000019892	17	22	5	10	6	14	0	18
ENSMUSG00000019893	19	20	79	54	53	242	304	162
ENSMUSG00000019894	16	3	2	3	15	13	5	24
ENSMUSG00000019897	1788	2618	1983	2159	1604	3403	2478	1827
ENSMUSG00000019899	100	134	99	223	11	37	3	19
ENSMUSG00000019900	5045	1482	2221	3850	5084	7277	6740	5048
ENSMUSG00000019905	73	33	58	76	67	67	73	105
ENSMUSG00000019906	88	62	37	85	71	196	159	62
ENSMUSG00000019907	505	499	326	682	435	471	300	293
ENSMUSG00000019909	0	5	3	2	0	15	5	6
ENSMUSG00000019913	294	230	118	308	163	267	210	126
ENSMUSG00000019916	5043	1514	2383	3383	4798	5042	7010	4920
ENSMUSG00000019917	395	276	328	562	293	402	316	307
ENSMUSG00000019920	1413	1157	563	982	1071	954	777	885
ENSMUSG00000019923	13574	12797	8171	12568	13253	25438	21432	14216
ENSMUSG00000019927	1050	701	643	880	975	1180	725	676
ENSMUSG00000019929	1433	2247	2400	2532	26	0	7	6
ENSMUSG00000019932	0	0	0	0	0	0	0	0
ENSMUSG00000019933	2556	3938	1652	2008	2634	2169	1113	1866
ENSMUSG00000019935	8	8	1	14	8	5	5	7
ENSMUSG00000019936	0	0	0	0	0	0	0	0
ENSMUSG00000019942	119	69	89	112	184	131	71	217
ENSMUSG00000019943	5133	4070	1581	4211	5401	3202	3709	3714
ENSMUSG00000019944	2328	898	578	1538	3428	1623	1575	1777
ENSMUSG00000019945	453	439	445	484	507	369	211	229
ENSMUSG00000019947	369	640	128	270	336	269	192	204
ENSMUSG00000019948	852	849	454	790	571	864	516	510
ENSMUSG00000019951	1398	472	573	1183	1258	1341	1428	1214
ENSMUSG00000019952	1662	577	945	1111	1382	852	1039	1006
ENSMUSG00000019960	3392	1653	2664	2792	3132	9464	7639	3936
ENSMUSG00000019961	3599	1095	1516	2934	3730	2193	1774	2340
ENSMUSG00000019966	135	51	28	258	3	33	10	0
ENSMUSG00000019969	3678	1116	2315	3109	4214	4268	4563	3711
ENSMUSG00000019970	2965	748	2022	3969	801	517	738	734
ENSMUSG00000019971	681	631	87	411	953	563	465	516
ENSMUSG00000019975	2893	2179	2156	2604	2552	4453	4133	2606
ENSMUSG00000019977	4720	1700	2604	3899	5445	5763	5798	5050
ENSMUSG00000019978	382	83	274	310	133	145	396	204
ENSMUSG00000019979	138	55	65	104	83	69	110	75
ENSMUSG00000019982	2	7	5	1	0	1	0	1
ENSMUSG00000019984	895	167	235	614	660	475	338	721
ENSMUSG00000019986	2482	2192	1292	2449	2476	2228	2476	2050
ENSMUSG00000019987	1690	1451	1373	2133	891	3603	2702	2726
ENSMUSG00000019988	632	278	214	489	626	517	456	403
ENSMUSG00000019989	104	26	29	22	31	53	29	25
ENSMUSG00000019990	62	34	26	79	90	92	51	49
ENSMUSG00000019992	21	7	5	16	18	43	12	24
ENSMUSG00000019996	3087	824	889	2060	2758	2207	2343	2665
ENSMUSG00000019997	944	339	642	1080	19	17	0	1
ENSMUSG00000019998	5397	3265	3064	4516	6480	6466	5003	5077
ENSMUSG00000020000	28	5	0	13	80	0	7	0
ENSMUSG00000020003	2839	2052	1715	2666	3215	3356	1929	2385
ENSMUSG00000020007	5	2	0	0	0	0	0	0
ENSMUSG00000020009	1408	818	736	1279	1370	1202	1235	1128
ENSMUSG00000020010	50	21	15	28	30	45	32	43
ENSMUSG00000020014	77	75	28	69	124	123	43	57
ENSMUSG00000020015	963	305	314	1003	780	757	563	570
ENSMUSG00000020017	6	11	11	13	7	10	2	21
ENSMUSG00000020018	588	842	670	528	537	587	389	387
ENSMUSG00000020019	1220	429	672	1085	422	658	803	426
ENSMUSG00000020020	0	1	0	2	2	3	1	5
ENSMUSG00000020021	335	73	55	317	455	354	430	327
ENSMUSG00000020022	3069	4973	3710	2780	3186	5278	5661	3601
ENSMUSG00000020023	1006	211	399	832	1067	862	1121	1142
ENSMUSG00000020024	563	342	225	316	631	523	388	477
ENSMUSG00000020027	1107	718	875	1151	1267	1476	1170	1017
ENSMUSG00000020029	2696	748	1246	2526	2253	2313	1840	2070
ENSMUSG00000020032	80	50	70	117	83	136	68	76
ENSMUSG00000020033	2	1	1	4	3	11	4	3
ENSMUSG00000020034	3294	1844	2827	3521	2604	3495	3466	2839
ENSMUSG00000020037	6	11	5	5	5	27	15	23
ENSMUSG00000020038	2004	651	811	1335	1863	1429	1149	1175
ENSMUSG00000020042	107	28	67	138	56	118	122	85
ENSMUSG00000020044	3783	554	1366	4422	193	26	38	12
ENSMUSG00000020048	107158	48333	58116	79810	114436	166819	137483	111642
ENSMUSG00000020051	9	2	28	47	74	53	83	50
ENSMUSG00000020052	104	53	57	57	116	102	58	87
ENSMUSG00000020053	65	66	165	137	75	41	92	69
ENSMUSG00000020056	1505	1974	1285	1507	1583	2316	1864	1481
ENSMUSG00000020057	101	17	85	138	39	3	13	12
ENSMUSG00000020059	1	12	6	2	0	9	3	5
ENSMUSG00000020061	2	8	3	4	11	4	1	2
ENSMUSG00000020062	1	3	3	5	10	4	1	1
ENSMUSG00000020063	524	199	197	386	482	320	329	355
ENSMUSG00000020064	1218	250	532	1225	1278	1534	1281	1163
ENSMUSG00000020067	1	0	0	0	0	2	9	0
ENSMUSG00000020068	361	237	192	329	374	445	292	315
ENSMUSG00000020069	2155	1967	1337	2436	1657	1611	884	1204
ENSMUSG00000020070	1164	702	376	830	1090	582	608	618
ENSMUSG00000020072	119	121	109	114	63	80	82	59
ENSMUSG00000020074	3280	1965	1396	2581	3371	3317	2551	2762
ENSMUSG00000020075	492	245	223	455	470	713	588	420
ENSMUSG00000020076	10185	3276	4486	7959	12456	15442	11750	9980
ENSMUSG00000020077	540	394	410	777	46	17	7	7
ENSMUSG00000020078	2748	1066	1181	2058	2648	2121	1544	1646
ENSMUSG00000020079	681	263	363	496	771	626	629	517
ENSMUSG00000020080	14	7	0	1	1	14	0	0
ENSMUSG00000020081	0	3	0	0	7	7	9	0
ENSMUSG00000020083	1879	1704	1389	1640	1729	1926	1511	1342
ENSMUSG00000020085	564	251	346	416	435	438	364	340
ENSMUSG00000020086	2612	1291	1128	1644	3004	2261	2289	1944
ENSMUSG00000020087	2143	642	1747	1974	2124	1955	2275	2003
ENSMUSG00000020088	21563	8316	12941	17025	25134	33998	35131	24524
ENSMUSG00000020089	5064	4144	3940	4151	4741	9992	8892	5827
ENSMUSG00000020090	0	1	2	1	0	0	2	0
ENSMUSG00000020091	527	189	117	264	598	335	287	280
ENSMUSG00000020092	278	29	165	321	96	52	93	67
ENSMUSG00000020096	460	337	310	350	392	340	297	256
ENSMUSG00000020097	3303	510	1500	2403	3485	2060	2061	2414
ENSMUSG00000020098	4525	4676	4371	4088	5060	6127	4878	4343
ENSMUSG00000020099	145	39	86	129	93	142	134	149
ENSMUSG00000020100	497	245	140	330	426	463	602	433
ENSMUSG00000020101	58	35	51	62	10	1	26	23
ENSMUSG00000020102	51	23	5	33	10	38	15	13
ENSMUSG00000020105	12	10	4	3	0	0	0	0
ENSMUSG00000020107	2317	2148	1549	2258	2642	3092	2748	2592
ENSMUSG00000020108	2187	696	710	1802	1286	714	1240	1486
ENSMUSG00000020109	808	416	568	697	802	710	842	726
ENSMUSG00000020111	3454	1411	2741	2795	3760	3822	5991	3690
ENSMUSG00000020114	4690	744	1770	4275	4652	3949	4407	3984
ENSMUSG00000020115	1226	450	521	1069	1121	1202	935	1032
ENSMUSG00000020116	2343	1864	1401	2033	2596	4247	2934	2529
ENSMUSG00000020120	167	38	55	223	141	137	165	115
ENSMUSG00000020121	68	61	12	60	55	67	40	34
ENSMUSG00000020122	343	87	129	262	556	284	365	412
ENSMUSG00000020123	57	24	53	20	9	4	0	15
ENSMUSG00000020124	3266	946	1223	2340	3151	3158	2732	2464
ENSMUSG00000020125	0	0	0	0	0	0	0	0
ENSMUSG00000020128	982	319	528	1005	1022	1183	848	925
ENSMUSG00000020130	6807	2651	3312	5358	8588	11502	10172	7747
ENSMUSG00000020131	180	133	201	251	196	128	148	115
ENSMUSG00000020132	3304	1656	2001	3238	3025	4540	2620	2956
ENSMUSG00000020133	1821	1122	1668	1560	1680	1796	1615	1535
ENSMUSG00000020134	1255	403	668	1073	1002	1629	1387	1314
ENSMUSG00000020135	44	13	41	65	76	44	30	31
ENSMUSG00000020137	212	150	158	200	270	218	190	160
ENSMUSG00000020140	14	2	0	32	8	25	22	6
ENSMUSG00000020142	602	43	176	364	662	448	420	452
ENSMUSG00000020143	5	0	11	54	0	13	10	1
ENSMUSG00000020149	20887	9719	12383	19729	24561	29329	20327	21139
ENSMUSG00000020150	85	82	190	145	170	121	289	201
ENSMUSG00000020151	620	340	428	640	702	267	309	385
ENSMUSG00000020152	3229	1583	1748	3327	2819	4047	2105	2945
ENSMUSG00000020153	3865	5763	4106	3811	3534	5173	4357	3646
ENSMUSG00000020154	779	86	184	629	35	46	44	7
ENSMUSG00000020155	79	69	74	99	111	128	90	121
ENSMUSG00000020156	1783	718	845	1479	1731	1219	1348	1228
ENSMUSG00000020159	10	2	1	0	0	0	0	0
ENSMUSG00000020160	832	269	355	675	594	578	408	441
ENSMUSG00000020163	4998	9120	4974	4580	4353	7475	6233	5116
ENSMUSG00000020164	0	0	0	0	0	0	0	0
ENSMUSG00000020166	3016	1076	1680	2305	2860	2142	2540	2418
ENSMUSG00000020167	1747	360	1326	1355	1394	972	973	782
ENSMUSG00000020168	0	0	0	0	0	0	0	0
ENSMUSG00000020169	533	178	149	326	584	476	405	421
ENSMUSG00000020170	445	161	124	564	431	438	359	669
ENSMUSG00000020171	1035	718	637	874	1124	1291	878	984
ENSMUSG00000020173	313	170	123	240	102	228	148	77
ENSMUSG00000020175	1589	492	798	1143	1090	873	852	897
ENSMUSG00000020176	2306	2155	1097	2336	712	625	545	613
ENSMUSG00000020177	5	3	5	1	0	1	0	0
ENSMUSG00000020178	461	123	451	281	155	136	210	126
ENSMUSG00000020180	953	2144	1455	1265	923	1338	799	851
ENSMUSG00000020181	30	15	21	26	55	15	16	34
ENSMUSG00000020182	10059	3758	4811	6646	15300	13943	11363	12289
ENSMUSG00000020183	897	273	261	588	1137	728	854	811
ENSMUSG00000020184	2818	945	1440	2576	3254	3710	3568	2251
ENSMUSG00000020185	87	56	22	74	90	101	70	87
ENSMUSG00000020186	198	202	172	203	72	69	31	50
ENSMUSG00000020189	691	377	167	626	588	607	506	494
ENSMUSG00000020190	491	104	561	859	369	320	288	322
ENSMUSG00000020191	6	1	0	2	2	9	0	1
ENSMUSG00000020193	95	79	42	99	72	128	73	75
ENSMUSG00000020196	1103	419	463	1032	915	544	548	657
ENSMUSG00000020198	5657	896	2180	3958	5684	4183	6024	5196
ENSMUSG00000020205	717	413	800	1123	392	832	490	509
ENSMUSG00000020211	1281	402	1542	1337	991	1303	1035	1087
ENSMUSG00000020212	5824	1024	1717	2855	5391	2859	3427	3956
ENSMUSG00000020213	8	3	5	6	2	6	29	8
ENSMUSG00000020214	0	4	2	4	3	2	4	3
ENSMUSG00000020216	2	2	4	3	0	0	0	0
ENSMUSG00000020218	126	47	52	68	23	31	19	36
ENSMUSG00000020219	3077	4281	3089	2877	2579	3819	3123	2703
ENSMUSG00000020220	208	108	131	240	207	247	131	145
ENSMUSG00000020224	356	459	342	359	359	653	463	343
ENSMUSG00000020225	9579	16356	13630	9503	10905	41178	33491	17913
ENSMUSG00000020226	4	4	8	12	13	11	7	16
ENSMUSG00000020227	346	202	289	357	259	1227	999	610
ENSMUSG00000020228	146	61	49	134	172	134	121	90
ENSMUSG00000020229	0	0	0	0	1	0	0	0
ENSMUSG00000020230	2056	1152	1402	1997	1902	1378	1877	1519
ENSMUSG00000020231	242	45	22	285	146	129	147	181
ENSMUSG00000020232	598	379	652	647	611	745	718	629
ENSMUSG00000020234	42	15	52	18	19	35	16	27
ENSMUSG00000020235	2335	948	1847	2176	2134	2038	2230	1888
ENSMUSG00000020238	3025	555	2186	2329	3048	2561	3148	2737
ENSMUSG00000020241	504	106	668	894	2	29	9	2
ENSMUSG00000020246	2057	688	898	1491	2224	2811	2161	1920
ENSMUSG00000020248	2419	1592	1353	2045	2036	2086	1491	1594
ENSMUSG00000020250	4644	983	2265	3696	4843	4417	3933	3836
ENSMUSG00000020251	13	25	7	20	13	55	42	21
ENSMUSG00000020253	140	113	182	140	82	97	100	104
ENSMUSG00000020255	484	150	280	387	369	460	356	290
ENSMUSG00000020256	507	62	93	378	734	265	611	658
ENSMUSG00000020257	752	157	227	603	538	295	236	273
ENSMUSG00000020258	122	21	36	90	77	83	85	47
ENSMUSG00000020260	10030	3252	5696	6450	11970	10182	10718	8943
ENSMUSG00000020261	317	518	560	539	524	346	535	343
ENSMUSG00000020262	246	104	92	190	320	186	134	139
ENSMUSG00000020263	1827	626	775	1487	2322	1602	1554	1353
ENSMUSG00000020264	13	5	8	11	7	4	3	3
ENSMUSG00000020265	11901	9210	8451	9278	10816	12459	11179	9602
ENSMUSG00000020267	5303	9351	5288	4611	4748	7542	6118	4699
ENSMUSG00000020268	226	198	118	240	159	251	161	171
ENSMUSG00000020270	0	0	0	0	0	0	0	0
ENSMUSG00000020271	4351	724	1726	3239	4235	3381	4204	3269
ENSMUSG00000020272	92	31	12	81	62	65	81	65
ENSMUSG00000020273	827	202	301	782	863	517	526	524
ENSMUSG00000020275	46	19	11	29	24	21	18	2
ENSMUSG00000020277	4779	1267	3245	3972	3594	2741	2619	2999
ENSMUSG00000020279	7	6	3	4	3	3	2	2
ENSMUSG00000020280	809	239	282	626	873	838	662	693
ENSMUSG00000020282	431	116	336	586	90	140	239	145
ENSMUSG00000020283	1836	1097	995	1910	1747	2493	1838	1627
ENSMUSG00000020284	2092	1414	1639	1702	2010	2594	2377	1889
ENSMUSG00000020286	6	5	0	4	3	0	1	0
ENSMUSG00000020287	752	577	629	823	615	1265	1080	770
ENSMUSG00000020288	1192	1105	966	1741	1291	1905	1196	1285
ENSMUSG00000020289	1690	763	1051	1343	2176	1664	2030	1661
ENSMUSG00000020290	1843	350	496	1614	1884	1358	873	1325
ENSMUSG00000020295	0	0	0	0	0	0	0	0
ENSMUSG00000020297	39	19	21	44	140	2	0	1
ENSMUSG00000020299	3	3	4	11	0	0	2	4
ENSMUSG00000020300	462	145	170	382	411	516	431	506
ENSMUSG00000020303	9	7	7	2	27	27	34	11
ENSMUSG00000020305	903	622	691	864	897	1274	1120	929
ENSMUSG00000020307	1840	1376	2320	1680	2067	4232	3615	2536
ENSMUSG00000020308	1731	1984	1572	1607	1631	2475	2104	1739
ENSMUSG00000020309	376	399	215	406	339	306	191	237
ENSMUSG00000020310	18	50	71	49	4	5	3	3
ENSMUSG00000020311	3605	3279	4138	4318	3743	15880	11321	6915
ENSMUSG00000020312	1133	170	535	905	999	410	519	542
ENSMUSG00000020315	2852	1221	1792	3239	1892	2031	1421	1819
ENSMUSG00000020317	6	2	0	4	6	2	4	5
ENSMUSG00000020319	890	292	268	615	1077	464	646	695
ENSMUSG00000020321	22948	18788	17101	19114	25516	41838	39110	27954
ENSMUSG00000020323	0	1	0	3	2	0	8	2
ENSMUSG00000020325	149	128	179	196	143	120	154	135
ENSMUSG00000020326	4418	1288	2020	3300	5401	7288	7116	5104
ENSMUSG00000020327	1	8	2	1	0	2	0	3
ENSMUSG00000020328	1711	1736	1344	1433	1845	2239	1734	1487
ENSMUSG00000020329	938	134	778	1031	1057	697	884	872
ENSMUSG00000020330	128	58	50	146	145	140	65	202
ENSMUSG00000020331	427	136	421	430	480	457	714	540
ENSMUSG00000020332	11	13	4	5	7	16	15	5
ENSMUSG00000020333	732	227	295	457	608	782	1160	718
ENSMUSG00000020334	159	185	167	92	171	314	312	248
ENSMUSG00000020335	259	187	125	267	205	495	312	244
ENSMUSG00000020340	6317	927	2198	4656	7697	5979	7769	6303
ENSMUSG00000020346	2296	444	1443	1864	2156	2061	2540	1938
ENSMUSG00000020349	10420	6133	6741	10464	12779	14613	11250	10544
ENSMUSG00000020354	173	69	48	132	224	194	137	142
ENSMUSG00000020357	128	24	70	186	3	3	1	3
ENSMUSG00000020358	9006	5764	5348	6544	10129	8960	7697	6692
ENSMUSG00000020359	866	570	663	917	1040	1664	1630	1162
ENSMUSG00000020361	3573	1170	2096	2759	3779	4622	3742	3409
ENSMUSG00000020362	1342	646	431	1154	1379	1021	758	948
ENSMUSG00000020363	112	29	78	147	4	0	0	2
ENSMUSG00000020364	278	100	133	289	271	249	164	195
ENSMUSG00000020366	2794	822	1152	1980	2649	2657	2558	2506
ENSMUSG00000020368	28297	7796	14951	24196	29016	32850	24661	26781
ENSMUSG00000020372	4679	4293	5454	4647	3969	7510	5830	4725
ENSMUSG00000020374	15	18	15	8	0	0	0	0
ENSMUSG00000020375	2183	810	1109	1794	2123	1696	1773	1731
ENSMUSG00000020376	22596	20651	14486	18096	19579	26920	22037	17369
ENSMUSG00000020377	3	1	5	5	1	3	4	2
ENSMUSG00000020380	347	355	120	353	514	220	298	426
ENSMUSG00000020381	114	158	82	99	65	91	52	82
ENSMUSG00000020383	1	0	0	0	0	1	1	0
ENSMUSG00000020385	3080	2215	1720	3318	3170	3781	2290	2705
ENSMUSG00000020386	7627	6370	5492	6208	8561	13049	10820	8295
ENSMUSG00000020387	211	97	112	179	157	115	68	94
ENSMUSG00000020388	60	77	106	36	42	99	67	53
ENSMUSG00000020389	139	136	100	98	174	189	147	170
ENSMUSG00000020390	9636	7184	6781	9215	8003	11837	7777	7761
ENSMUSG00000020392	2180	1465	1125	1710	1979	1650	1671	1692
ENSMUSG00000020393	657	71	126	474	332	249	335	329
ENSMUSG00000020395	3	3	2	5	2	7	1	4
ENSMUSG00000020396	164	36	46	210	483	300	303	266
ENSMUSG00000020397	1722	1515	1258	1786	1544	2453	1465	1484
ENSMUSG00000020399	0	9	16	7	3	1	0	2
ENSMUSG00000020400	984	265	808	917	737	582	822	780
ENSMUSG00000020401	6	2	0	3	3	0	4	6
ENSMUSG00000020402	3130	1362	1564	2583	3197	2801	2155	2174
ENSMUSG00000020405	0	1	0	0	0	0	0	0
ENSMUSG00000020407	2661	3721	3179	2309	937	1739	1433	786
ENSMUSG00000020409	2881	1392	2017	2589	2693	3161	2486	2648
ENSMUSG00000020411	10	6	2	7	8	8	7	14
ENSMUSG00000020412	1396	419	1084	1412	1243	1445	1765	1366
ENSMUSG00000020413	371	92	86	172	294	224	141	141
ENSMUSG00000020415	722	1085	682	731	510	750	573	417
ENSMUSG00000020419	0	0	0	1	0	0	0	0
